[2023-01-17 16:23:36,166] [autoreload.py:677] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2023-01-17 16:23:43,020] [server.py:111] [server:run] [INFO]- HTTP/2 support enabled
[2023-01-17 16:25:15,071] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/jsi18n/ 200 [0.04, 127.0.0.1:50431]
[2023-01-17 16:25:15,084] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/img/icon-no.svg 200 [0.01, 127.0.0.1:50431]
[2023-01-17 16:25:24,746] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/saas/casenew/235/change/ 200 [0.37, 127.0.0.1:50442]
[2023-01-17 16:25:24,840] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/vendor/select2/select2.css 200 [0.04, 127.0.0.1:50443]
[2023-01-17 16:25:24,847] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/forms.css 200 [0.04, 127.0.0.1:50442]
[2023-01-17 16:25:24,877] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/jsi18n/ 200 [0.03, 127.0.0.1:50442]
[2023-01-17 16:25:24,888] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/autocomplete.css 200 [0.08, 127.0.0.1:50446]
[2023-01-17 16:25:24,928] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/vendor/select2/select2.full.js 200 [0.12, 127.0.0.1:50447]
[2023-01-17 16:25:24,945] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/vendor/select2/i18n/zh-CN.js 200 [0.14, 127.0.0.1:50448]
[2023-01-17 16:25:25,001] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/inlines.js 200 [0.19, 127.0.0.1:50449]
[2023-01-17 16:25:25,008] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/autocomplete.js 200 [0.17, 127.0.0.1:50443]
[2023-01-17 16:25:25,015] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/widgets.css 200 [0.11, 127.0.0.1:50442]
[2023-01-17 16:25:25,025] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/prepopulate_init.js 200 [0.01, 127.0.0.1:50443]
[2023-01-17 16:25:25,059] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/img/icon-viewlink.svg 200 [0.01, 127.0.0.1:50442]
[2023-01-17 16:25:25,070] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/change_form.js 200 [0.01, 127.0.0.1:50443]
[2023-01-17 16:25:25,178] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/img/inline-delete.svg 200 [0.01, 127.0.0.1:50443]
[2023-01-17 16:25:33,990] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/saas/casenew/ 200 [0.07, 127.0.0.1:50456]
[2023-01-17 16:25:36,817] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/saas/casenew/230/change/ 200 [0.18, 127.0.0.1:50456]
